dataset,f1,f2,vae,knn,k,diff,absdiff
abalone,9,10,0.5462518976818728,0.5371143765631036,1.0,-0.009137521118769198,0.009137521118769198
abalone,3,8,0.5273724613942243,0.617862564827471,1.0,0.0904901034332467,0.0904901034332467
abalone,1,9,0.5139497579537794,0.757357279949765,1.0,0.2434075219959856,0.2434075219959856
abalone,1,8,0.5165821660865993,0.6208759416706422,1.0,0.10429377558404285,0.10429377558404285
abalone,6,10,0.5127868007173743,0.6101114261869278,1.0,0.09732462546955356,0.09732462546955356
abalone,4,8,0.5336799289681047,0.5266993211346711,27.0,-0.006980607833433572,0.006980607833433572
abalone,3,4,0.5128899200787558,0.9805047119582924,1.0,0.4676147918795366,0.4676147918795366
abalone,1,6,0.5259316547788986,0.9988399072,1.0,0.47290825242110146,0.47290825242110146
abalone,1,10,0.5165621150927209,0.767603334165093,1.0,0.2510412190723721,0.2510412190723721
abalone,3,5,0.5124402050928527,0.994256824533276,1.0,0.4818166194404233,0.4818166194404233
blood-transfusion,3,4,0.553896103901948,0.6603896103883332,11.0,0.10649350648638523,0.10649350648638523
blood-transfusion,1,2,0.5647186147258657,0.8333333333327488,1.0,0.26861471860688313,0.26861471860688313
blood-transfusion,1,3,0.6036796536719697,0.8329004329015152,1.0,0.22922077922954542,0.22922077922954542
blood-transfusion,2,3,0.6733766233712986,1.0,1.0,0.32662337662870145,0.32662337662870145
blood-transfusion,1,4,0.6658008657987662,0.6060606060505195,1.0,-0.059740259748246705,0.059740259748246705
blood-transfusion,2,4,0.5354978354955845,0.6603896103883332,11.0,0.12489177489274872,0.12489177489274872
breast-cancer-wisconsin,6,26,0.6842700258254036,0.8998708010355296,5.0,0.215600775210126,0.215600775210126
breast-cancer-wisconsin,4,18,0.846737726091376,0.8751614987068314,1.0,0.028423772615455367,0.028423772615455367
breast-cancer-wisconsin,8,17,0.8662790697479006,0.9395994831664728,27.0,0.0733204134185722,0.0733204134185722
breast-cancer-wisconsin,21,25,0.974160206699774,0.98917958655688,3.0,0.015019379857105997,0.015019379857105997
breast-cancer-wisconsin,5,8,0.9197351420939276,0.9610788113578488,27.0,0.04134366926392119,0.04134366926392119
breast-cancer-wisconsin,11,18,0.8567506459741118,0.8229974160067023,27.0,-0.03375322996740948,0.03375322996740948
breast-cancer-wisconsin,25,27,0.8289728682114664,0.9370155038660208,27.0,0.10804263565455441,0.10804263565455441
breast-cancer-wisconsin,7,14,0.9087532299620156,0.9714147286550064,3.0,0.06266149869299087,0.06266149869299087
breast-cancer-wisconsin,9,17,0.6986434108368863,0.7470930232400356,27.0,0.04844961240314927,0.04844961240314927
breast-cancer-wisconsin,6,19,0.6437338501243702,0.821705426338808,27.0,0.17797157621443782,0.17797157621443782
breast-tissue,5,8,0.7678571428625,0.85267857143125,1.0,0.08482142856875008,0.08482142856875008
breast-tissue,2,5,0.78571428570625,0.90178571429375,1.0,0.11607142858749997,0.11607142858749997
breast-tissue,3,8,0.651785714275,0.75446428570625,5.0,0.10267857143125003,0.10267857143125003
breast-tissue,4,9,0.8035714285749999,0.8482142857125,5.0,0.04464285713750016,0.04464285713750016
breast-tissue,4,6,0.64732142856875,0.86160714285625,1.0,0.21428571428749998,0.21428571428749998
breast-tissue,3,5,0.8035714285625001,0.897321428575,5.0,0.09375000001249989,0.09375000001249989
breast-tissue,3,9,0.7857142857124999,0.91964285715,11.0,0.13392857143750014,0.13392857143750014
breast-tissue,5,7,0.83928571428125,0.8392857142875,5.0,6.250000517127319e-12,6.250000517127319e-12
breast-tissue,5,9,0.8616071428562501,0.8571428571437499,1.0,-0.004464285712500127,0.004464285712500127
breast-tissue,4,7,0.7767857142875,0.86607142856875,1.0,0.08928571428124998,0.08928571428124998
cardiotocography,10,17,0.580958758591112,0.6817761972867247,1.0,0.10081743869561266,0.10081743869561266
cardiotocography,9,17,0.5820440585659123,0.7887821548930632,1.0,0.2067380963271509,0.2067380963271509
cardiotocography,12,16,0.5186579226873574,0.988338798301965,1.0,0.4696808756146076,0.4696808756146076
cardiotocography,7,17,0.5478686556190456,0.6225234378591304,1.0,0.07465478224008482,0.07465478224008482
cardiotocography,1,19,0.633030065121325,0.8978201635,1.0,0.26479009837867507,0.26479009837867507
cardiotocography,8,14,0.7735186810165773,0.8968272294752414,1.0,0.12330854845866412,0.12330854845866412
cardiotocography,13,24,0.6999953816957719,0.9524315337138156,1.0,0.2524361520180437,0.2524361520180437
