dataset,f1,f2,vae,knn,k,diff,absdiff
abalone,4,10,0.6902552204352154,0.7527713328375613,27.0,0.06251611240234589,0.06251611240234589
abalone,2,5,0.6848414539852669,0.9965197216,1.0,0.31167826761473316,0.31167826761473316
abalone,6,8,0.7857695282374709,0.8245681876822247,27.0,0.0387986594447538,0.0387986594447538
abalone,3,5,0.5434390306763341,0.9948440319999357,1.0,0.4514050013236015,0.4514050013236015
abalone,1,6,0.6062129414877933,0.9988399072,1.0,0.3926269657122068,0.3926269657122068
abalone,3,8,0.600928074239701,0.6477184841459139,1.0,0.04679040990621297,0.04679040990621297
abalone,7,10,0.8084557875775715,0.8658159319496262,1.0,0.05736014437205472,0.05736014437205472
abalone,2,8,0.5665119876187032,0.6715648362984791,1.0,0.10505284867977582,0.10505284867977582
abalone,3,10,0.6142046919230858,0.7794534673665506,1.0,0.16524877544346483,0.16524877544346483
abalone,4,5,0.6595772106317995,0.8720030935751611,1.0,0.21242588294336162,0.21242588294336162
abalone,7,9,0.8451920598234467,0.886310904890629,3.0,0.04111884506718233,0.04111884506718233
abalone,5,10,0.7619231761005155,0.8454498582206497,27.0,0.08352668212013414,0.08352668212013414
abalone,6,9,0.7398814127320829,0.7461974735895979,3.0,0.006316060857515016,0.006316060857515016
abalone,4,7,0.6957978860582495,0.7811291570080819,3.0,0.0853312709498324,0.0853312709498324
abalone,2,4,0.6550657385852281,0.9780871358328564,1.0,0.32302139724762835,0.32302139724762835
abalone,3,7,0.5613560195920211,0.8419695797955271,3.0,0.28061356020350603,0.28061356020350603
abalone,8,10,0.7896365042712424,0.8567929878829338,11.0,0.06715648361169135,0.06715648361169135
abalone,3,9,0.654679040998363,0.822634699670611,3.0,0.16795565867224793,0.16795565867224793
abalone,7,8,0.8776746584190512,0.8979118329540603,27.0,0.02023717453500906,0.02023717453500906
abalone,1,4,0.6647331786386569,0.9907192575109952,1.0,0.3259860788723383,0.3259860788723383
blood-transfusion,2,3,1.0,1.0,1.0,0.0,0.0
blood-transfusion,1,2,0.97402597405,1.0,11.0,0.02597402594999998,0.02597402594999998
blood-transfusion,1,4,0.8896103895999999,0.8766233766,1.0,-0.012987012999999936,0.012987012999999936
blood-transfusion,2,4,1.0,1.0,1.0,0.0,0.0
blood-transfusion,3,4,1.0,1.0,1.0,0.0,0.0
blood-transfusion,1,3,1.0,1.0,1.0,0.0,0.0
breast-cancer-wisconsin,2,19,0.692708333325,0.7777777778,11.0,0.08506944447499998,0.08506944447499998
breast-cancer-wisconsin,8,17,0.940972222225,0.96180555555,3.0,0.020833333325000036,0.020833333325000036
breast-cancer-wisconsin,4,26,0.7916666666625001,0.984375,1.0,0.19270833333749993,0.19270833333749993
breast-cancer-wisconsin,14,16,0.9704861111125,0.9496527777875,3.0,-0.020833333325000036,0.020833333325000036
breast-cancer-wisconsin,6,8,0.90625,0.97916666665,1.0,0.07291666664999996,0.07291666664999996
breast-cancer-wisconsin,7,10,0.97569444445,0.9861111111,1.0,0.010416666650000073,0.010416666650000073
breast-cancer-wisconsin,6,28,0.9496527777625,0.9704861110875,3.0,0.020833333325000036,0.020833333325000036
breast-cancer-wisconsin,2,27,0.878472222225,0.9236111111,11.0,0.04513888887500006,0.04513888887500006
breast-cancer-wisconsin,2,25,0.7604166666875,0.86805555555,3.0,0.10763888886250006,0.10763888886250006
breast-cancer-wisconsin,17,23,0.9704861111125,0.934027777775,27.0,-0.03645833333750004,0.03645833333750004
breast-cancer-wisconsin,5,25,0.7048611111125,0.8020833333375,1.0,0.09722222222499999,0.09722222222499999
breast-cancer-wisconsin,9,20,0.612847222225,0.7326388888750001,11.0,0.11979166665000007,0.11979166665000007
breast-cancer-wisconsin,21,27,0.9878472222125,0.9878472222125,27.0,0.0,0.0
breast-cancer-wisconsin,6,15,0.7239583333375,0.7361111111124999,3.0,0.012152777774999901,0.012152777774999901
breast-cancer-wisconsin,11,22,0.8975694444375001,0.9322916666625,3.0,0.03472222222499988,0.03472222222499988
breast-cancer-wisconsin,7,24,0.984375,0.9878472222125,1.0,0.003472222212499987,0.003472222212499987
breast-cancer-wisconsin,22,30,0.824652777775,0.78819444445,1.0,-0.036458333325000036,0.036458333325000036
breast-cancer-wisconsin,1,16,0.7864583333375,0.8420138888875001,1.0,0.055555555550000024,0.055555555550000024
breast-cancer-wisconsin,1,7,0.9878472222125,0.9461805555625,27.0,-0.04166666664999996,0.04166666664999996
breast-cancer-wisconsin,8,13,0.934027777775,0.9739583333375,27.0,0.039930555562500025,0.039930555562500025
breast-tissue,4,6,1.0,1.0,1.0,0.0,0.0
breast-tissue,4,8,0.92857142855,1.0,1.0,0.07142857145000003,0.07142857145000003
breast-tissue,3,7,1.0,1.0,1.0,0.0,0.0
breast-tissue,1,7,1.0,1.0,1.0,0.0,0.0
breast-tissue,5,7,1.0,1.0,1.0,0.0,0.0
breast-tissue,2,7,1.0,1.0,1.0,0.0,0.0
breast-tissue,5,9,1.0,1.0,1.0,0.0,0.0
breast-tissue,6,9,1.0,1.0,1.0,0.0,0.0
breast-tissue,3,9,1.0,1.0,1.0,0.0,0.0
breast-tissue,1,2,0.9642857143,1.0,1.0,0.035714285700000015,0.035714285700000015
breast-tissue,7,9,1.0,1.0,1.0,0.0,0.0
breast-tissue,1,8,1.0,1.0,1.0,0.0,0.0
breast-tissue,4,5,1.0,1.0,1.0,0.0,0.0
breast-tissue,1,3,1.0,1.0,1.0,0.0,0.0
breast-tissue,4,9,1.0,1.0,1.0,0.0,0.0
breast-tissue,5,8,1.0,1.0,1.0,0.0,0.0
breast-tissue,1,5,1.0,1.0,1.0,0.0,0.0
breast-tissue,3,5,1.0,1.0,1.0,0.0,0.0
breast-tissue,6,8,1.0,1.0,1.0,0.0,0.0
breast-tissue,2,8,0.8928571428500001,0.82142857145,1.0,-0.07142857140000003,0.07142857140000003
cardiotocography,18,19,0.7155616106721389,0.7061762034486452,1.0,-0.00938540722349368,0.00938540722349368
cardiotocography,16,17,0.5661519830491901,0.8969118982759083,27.0,0.3307599152267182,0.3307599152267182
cardiotocography,2,27,0.5409476233719801,0.97683923705,1.0,0.4358916136780199,0.4358916136780199
cardiotocography,10,13,0.7669542839739025,0.9918256131,1.0,0.22487132912609742,0.22487132912609742
cardiotocography,16,22,0.7133666363966622,0.9729034211567666,1.0,0.25953678476010444,0.25953678476010444
cardiotocography,23,27,0.6311686345635105,0.985013624,1.0,0.35384498943648957,0.35384498943648957
cardiotocography,8,15,0.7608991825731228,0.9523160763,1.0,0.1914168937268772,0.1914168937268772
cardiotocography,13,24,0.6128519527527854,0.9673024523,1.0,0.35445049954721464,0.35445049954721464
cardiotocography,9,16,0.6724947017771872,0.9441416893792764,1.0,0.2716469876020893,0.2716469876020893
cardiotocography,11,15,0.738268240991538,0.9591280654,1.0,0.22085982440846197,0.22085982440846197
cardiotocography,8,20,0.6061156524057827,0.906070239181108,1.0,0.29995458677532527,0.29995458677532527
cardiotocography,3,10,0.6463063881141387,0.9931880109,1.0,0.3468816227858613,0.3468816227858613
cardiotocography,20,26,0.6225401150356948,0.76158038145,1.0,0.1390402664143051,0.1390402664143051
cardiotocography,9,17,0.6182258552773161,0.8088101725612096,1.0,0.19058431728389347,0.19058431728389347
cardiotocography,10,12,0.5951407811235696,1.0,1.0,0.4048592188764304,0.4048592188764304
cardiotocography,2,14,0.7192703602758098,0.8649712382664925,1.0,0.14570087799068265,0.14570087799068265
cardiotocography,23,26,0.601650015143362,0.76021798365,1.0,0.158567968506638,0.158567968506638
cardiotocography,21,26,0.6155767484017485,0.89373297005,1.0,0.2781562216482515,0.2781562216482515
cardiotocography,15,25,0.7204813805524825,0.735240690280003,1.0,0.014759309727520598,0.014759309727520598
cardiotocography,9,27,0.5537390251233045,0.9592037541872616,1.0,0.40546472906395703,0.40546472906395703
ecoli,1,7,0.6768292683,0.786585365875,3.0,0.10975609757500004,0.10975609757500004
ecoli,2,6,0.750000000025,0.8414634146500001,27.0,0.09146341462500007,0.09146341462500007
ecoli,2,4,0.8048780488,0.957317073175,1.0,0.152439024375,0.152439024375
ecoli,2,7,0.664634146375,0.86585365855,27.0,0.201219512175,0.201219512175
ecoli,6,7,0.66463414635,0.8109756097749999,27.0,0.14634146342499998,0.14634146342499998
ecoli,5,7,0.658536585375,0.774390243925,3.0,0.11585365854999996,0.11585365854999996
ecoli,1,3,0.737804878075,0.8780487804999999,1.0,0.14024390242499996,0.14024390242499996
ecoli,3,5,0.7865853658749999,0.920731707325,1.0,0.13414634145000004,0.13414634145000004
ecoli,3,4,0.7256097561,1.0,1.0,0.2743902439,0.2743902439
ecoli,4,7,0.6402439024500001,0.896341463425,1.0,0.2560975609749999,0.2560975609749999
ecoli,2,3,0.6280487805,0.93902439025,1.0,0.31097560974999994,0.31097560974999994
ecoli,5,6,0.9024390244,0.8170731707500001,27.0,-0.08536585364999993,0.08536585364999993
ecoli,1,4,0.6341463414749999,0.89024390245,1.0,0.256097560975,0.256097560975
ecoli,4,5,0.6890243902500001,0.957317073175,1.0,0.26829268292499997,0.26829268292499997
ecoli,3,6,0.6524390244,0.8536585365999999,1.0,0.2012195121999999,0.2012195121999999
ecoli,1,6,0.6524390244,0.8353658536749999,1.0,0.18292682927499992,0.18292682927499992
ecoli,1,2,0.6280487805,0.695121951225,3.0,0.06707317072499996,0.06707317072499996
ecoli,2,5,0.762195121975,0.658536585375,1.0,-0.1036585365999999,0.1036585365999999
ecoli,4,6,0.6829268292749999,0.8780487805,1.0,0.1951219512250001,0.1951219512250001
ecoli,1,5,0.756097561,0.7073170731749999,1.0,-0.04878048782500011,0.04878048782500011
gisette,2760,4403,0.5482653061251224,0.9757142857,1.0,0.4274489795748776,0.4274489795748776
gisette,836,2493,0.5577959183619388,0.9374081632643368,1.0,0.3796122449023981,0.3796122449023981
gisette,696,2267,0.5543469387947041,0.9642857143,1.0,0.4099387755052959,0.4099387755052959
gisette,1279,1695,0.5650000000050714,0.97214285715,1.0,0.4071428571449286,0.4071428571449286
gisette,1991,2739,0.562204081639204,0.953673469398102,1.0,0.39146938775889806,0.39146938775889806
gisette,2881,4281,0.8023877550916021,0.951653061239153,1.0,0.14926530614755096,0.14926530614755096
gisette,589,3648,0.6926938775576936,0.9560816326803674,1.0,0.26338775512267376,0.26338775512267376
gisette,1774,3852,0.8109183673380612,0.9312040816004898,1.0,0.12028571426242862,0.12028571426242862
gisette,3297,3802,0.7999795918291225,0.94285714285,1.0,0.1428775510208775,0.1428775510208775
gisette,588,4883,0.5878571428580714,0.9236122448919696,1.0,0.33575510203389813,0.33575510203389813
gisette,406,3235,0.5646734693918163,0.9714081632532654,1.0,0.4067346938614491,0.4067346938614491
gisette,1795,4462,0.5537959183528673,0.9842857143,1.0,0.43048979594713266,0.43048979594713266
gisette,274,3099,0.9912040816196326,0.9951020408158164,1.0,0.0038979591961838533,0.0038979591961838533
gisette,2420,3420,0.5577551020276836,0.9842857143,1.0,0.42653061227231637,0.42653061227231637
gisette,3150,4506,0.918387755106102,0.9602244897882244,1.0,0.041836734682122345,0.041836734682122345
gisette,2024,4823,0.5935102040932245,0.94785714285,1.0,0.3543469387567755,0.3543469387567755
gisette,2711,3437,0.6710204081584489,0.9520408163141838,1.0,0.2810204081557349,0.2810204081557349
gisette,2012,3364,0.5386122449153266,0.9957142857,1.0,0.4571020407846734,0.4571020407846734
gisette,1201,2424,0.5423469387740613,0.9757142857,1.0,0.4333673469259387,0.4333673469259387
gisette,171,4612,0.5318571428585,0.8883265305986122,1.0,0.35646938774011216,0.35646938774011216
glass,2,10,1.0,0.8260869565,5.0,-0.17391304350000003,0.17391304350000003
glass,6,9,0.8043478261,0.89130434785,1.0,0.08695652175000002,0.08695652175000002
glass,1,3,1.0,1.0,1.0,0.0,0.0
glass,1,9,0.9347826087,0.97826086955,1.0,0.04347826085000006,0.04347826085000006
glass,1,6,1.0,1.0,1.0,0.0,0.0
